Date,Price,Open,High,Low,Vol.,Change %
17-Aug-18,1.86,1.88,1.9,1.83,512.60K,0.54%
16-Aug-18,1.85,1.86,1.88,1.83,588.30K,-0.54%
15-Aug-18,1.86,1.85,1.89,1.83,627.10K,0.54%
14-Aug-18,1.85,1.86,1.88,1.83,379.80K,0.00%
13-Aug-18,1.85,1.85,1.87,1.8,1.23M,0.00%
10-Aug-18,1.85,1.88,1.89,1.85,714.80K,-1.07%
9-Aug-18,1.87,1.82,1.89,1.79,1.24M,2.19%
8-Aug-18,1.83,1.79,1.83,1.78,1.36M,2.23%
7-Aug-18,1.79,1.74,1.79,1.73,468.20K,2.29%
6-Aug-18,1.75,1.74,1.75,1.71,167.30K,0.57%
3-Aug-18,1.74,1.73,1.75,1.73,103.50K,0.58%
2-Aug-18,1.73,1.78,1.78,1.7,134.40K,-2.81%
1-Aug-18,1.78,1.78,1.8,1.78,80.50K,0.00%
31-Jul-18,1.78,1.8,1.8,1.75,153.90K,-1.11%
30-Jul-18,1.8,1.75,1.81,1.74,306.20K,2.86%
27-Jul-18,1.75,1.73,1.78,1.73,127.00K,-0.57%
26-Jul-18,1.76,1.78,1.8,1.74,524.70K,-0.56%
25-Jul-18,1.77,1.72,1.77,1.7,694.40K,2.91%
24-Jul-18,1.72,1.65,1.72,1.65,365.10K,2.99%
23-Jul-18,1.67,1.7,1.71,1.64,379.20K,-1.76%
20-Jul-18,1.7,1.75,1.75,1.69,571.80K,-1.16%
19-Jul-18,1.72,1.66,1.75,1.66,2.04M,4.88%
18-Jul-18,1.64,1.6,1.67,1.6,1.07M,3.14%
17-Jul-18,1.59,1.56,1.6,1.54,1.06M,2.58%
16-Jul-18,1.55,1.52,1.57,1.5,1.12M,3.33%
13-Jul-18,1.5,1.48,1.54,1.47,937.70K,4.17%
12-Jul-18,1.44,1.32,1.46,1.32,577.60K,7.46%
11-Jul-18,1.34,1.36,1.36,1.33,176.90K,-0.74%
10-Jul-18,1.35,1.35,1.39,1.35,210.30K,0.00%
9-Jul-18,1.35,1.37,1.39,1.33,346.60K,-1.46%
6-Jul-18,1.37,1.41,1.42,1.37,217.40K,-2.84%
5-Jul-18,1.41,1.4,1.44,1.4,256.90K,-0.70%
4-Jul-18,1.42,1.44,1.45,1.41,456.80K,-3.40%
3-Jul-18,1.47,1.51,1.52,1.45,233.70K,-2.65%
2-Jul-18,1.51,1.57,1.58,1.51,97.60K,-3.21%
29-Jun-18,1.56,1.55,1.6,1.55,165.20K,-0.64%
28-Jun-18,1.57,1.58,1.58,1.56,107.40K,-2.48%
27-Jun-18,1.61,1.6,1.62,1.59,24.60K,0.62%
26-Jun-18,1.6,1.6,1.63,1.59,164.00K,-3.03%
25-Jun-18,1.65,1.66,1.67,1.65,124.90K,-1.20%
22-Jun-18,1.67,1.66,1.68,1.64,198.10K,0.60%
21-Jun-18,1.66,1.67,1.7,1.65,240.20K,0.00%
