"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2018","0.330","0.335","0.345","0.330","22.78M","-4.35%"
"Dec 10, 2018","0.345","0.345","0.350","0.340","14.28M","-1.43%"
"Dec 07, 2018","0.350","0.365","0.370","0.345","48.85M","-1.41%"
"Dec 06, 2018","0.355","0.340","0.365","0.330","57.97M","5.97%"
"Dec 05, 2018","0.335","0.340","0.345","0.335","20.80M","-2.90%"
"Dec 04, 2018","0.345","0.350","0.350","0.340","16.76M","-1.43%"
"Dec 03, 2018","0.350","0.355","0.365","0.345","40.62M","-1.41%"
"Nov 30, 2018","0.355","0.340","0.355","0.325","56.76M","4.41%"
"Nov 29, 2018","0.340","0.345","0.355","0.340","26.04M","-1.45%"
"Nov 28, 2018","0.345","0.345","0.360","0.340","37.42M","1.47%"
"Nov 27, 2018","0.340","0.355","0.355","0.340","50.07M","-4.23%"
"Nov 26, 2018","0.355","0.350","0.360","0.345","22.87M","0.00%"
"Nov 23, 2018","0.355","0.360","0.365","0.355","25.54M","-1.39%"
"Nov 22, 2018","0.360","0.380","0.380","0.360","44.97M","-4.00%"
"Nov 21, 2018","0.375","0.345","0.380","0.345","87.50M","4.17%"
"Nov 19, 2018","0.360","0.360","0.365","0.355","23.72M","0.00%"
"Nov 16, 2018","0.360","0.365","0.370","0.360","55.44M","-1.37%"
"Nov 15, 2018","0.365","0.365","0.375","0.360","45.27M","-1.35%"
"Nov 14, 2018","0.370","0.365","0.370","0.355","52.98M","0.00%"
"Nov 13, 2018","0.370","0.365","0.380","0.360","70.15M","-2.63%"
"Nov 12, 2018","0.380","0.385","0.405","0.375","117.91M","1.33%"
"Nov 09, 2018","0.375","0.360","0.375","0.350","73.24M","4.17%"
"Nov 08, 2018","0.360","0.375","0.380","0.360","60.75M","-2.70%"
"Nov 07, 2018","0.370","0.355","0.405","0.350","289.58M","4.23%"
"Nov 05, 2018","0.355","0.340","0.360","0.335","57.86M","1.43%"
"Nov 02, 2018","0.350","0.330","0.350","0.325","78.31M","4.48%"
"Nov 01, 2018","0.335","0.335","0.340","0.325","26.72M","-1.47%"
"Oct 31, 2018","0.340","0.320","0.340","0.315","82.94M","6.25%"
"Oct 30, 2018","0.320","0.320","0.330","0.310","89.49M","-1.54%"
"Oct 29, 2018","0.325","0.335","0.335","0.325","29.85M","-2.99%"
"Oct 26, 2018","0.335","0.345","0.345","0.330","46.36M","0.00%"
"Oct 25, 2018","0.335","0.335","0.340","0.330","50.98M","-2.90%"
"Oct 24, 2018","0.345","0.340","0.345","0.335","39.77M","1.47%"
"Oct 23, 2018","0.340","0.345","0.350","0.340","64.85M","-1.45%"
"Oct 22, 2018","0.345","0.340","0.355","0.335","77.39M","2.99%"
"Oct 19, 2018","0.335","0.340","0.345","0.335","81.88M","-2.90%"
"Oct 18, 2018","0.345","0.350","0.350","0.340","39.70M","-1.43%"
"Oct 17, 2018","0.350","0.355","0.355","0.350","19.14M","1.45%"
"Oct 16, 2018","0.345","0.355","0.360","0.345","33.10M","-2.82%"
"Oct 15, 2018","0.355","0.360","0.375","0.355","109.96M","-1.39%"
"Oct 12, 2018","0.360","0.360","0.370","0.355","84.76M","-1.37%"
"Oct 11, 2018","0.365","0.340","0.370","0.335","156.70M","1.39%"
"Oct 10, 2018","0.360","0.375","0.380","0.355","113.06M","-4.00%"
"Oct 09, 2018","0.375","0.370","0.385","0.365","119.78M","1.35%"
"Oct 08, 2018","0.370","0.385","0.390","0.360","89.01M","-5.13%"
"Oct 05, 2018","0.390","0.410","0.410","0.390","100.30M","-4.88%"
"Oct 04, 2018","0.410","0.415","0.425","0.405","65.34M","-1.20%"
"Oct 03, 2018","0.415","0.430","0.430","0.410","75.41M","-3.49%"
"Oct 02, 2018","0.430","0.435","0.440","0.420","122.43M","1.18%"
"Oct 01, 2018","0.425","0.415","0.435","0.405","194.94M","3.66%"
"Sep 28, 2018","0.410","0.425","0.430","0.400","162.36M","-3.53%"
"Sep 27, 2018","0.425","0.435","0.440","0.415","146.05M","-2.30%"
"Sep 26, 2018","0.435","0.445","0.450","0.430","84.24M","-1.14%"
"Sep 25, 2018","0.440","0.440","0.455","0.435","190.62M","2.33%"
"Sep 24, 2018","0.430","0.435","0.440","0.420","73.85M","-1.15%"
"Sep 21, 2018","0.435","0.445","0.445","0.425","81.17M","-1.14%"
"Sep 20, 2018","0.440","0.435","0.455","0.430","134.28M","2.33%"
"Sep 19, 2018","0.430","0.455","0.460","0.420","191.04M","-3.37%"
"Sep 18, 2018","0.445","0.455","0.475","0.445","238.38M","-2.20%"
"Sep 14, 2018","0.455","0.440","0.490","0.440","491.43M","2.25%"
"Sep 13, 2018","0.445","0.360","0.445","0.360","498.26M","25.35%"
"Sep 12, 2018","0.355","0.350","0.355","0.340","134.89M","5.97%"
"Sep 07, 2018","0.335","0.340","0.345","0.335","53.62M","0.00%"
"Sep 06, 2018","0.335","0.340","0.345","0.335","29.11M","-1.47%"
"Sep 05, 2018","0.340","0.360","0.360","0.335","113.07M","-5.56%"
"Sep 04, 2018","0.360","0.345","0.365","0.345","151.24M","4.35%"
"Sep 03, 2018","0.345","0.345","0.355","0.330","128.42M","1.47%"
"Aug 30, 2018","0.340","0.355","0.360","0.335","97.90M","-2.86%"
"Aug 29, 2018","0.350","0.345","0.375","0.340","230.36M","0.00%"
"Aug 28, 2018","0.350","0.375","0.380","0.340","296.25M","-6.67%"
"Aug 27, 2018","0.375","0.415","0.425","0.370","348.89M","-9.64%"
"Aug 24, 2018","0.415","0.595","0.605","0.370","630.22M","-30.25%"
"Aug 23, 2018","0.595","0.595","0.605","0.590","57.71M","0.85%"
"Aug 21, 2018","0.590","0.585","0.590","0.580","21.57M","1.72%"
"Aug 20, 2018","0.580","0.580","0.590","0.580","33.24M","0.00%"
"Aug 17, 2018","0.580","0.585","0.590","0.580","16.98M","0.00%"
"Aug 16, 2018","0.580","0.580","0.585","0.575","27.56M","-0.85%"
"Aug 15, 2018","0.585","0.590","0.595","0.585","18.91M","-0.85%"
"Aug 14, 2018","0.590","0.585","0.595","0.580","40.71M","1.72%"
"Aug 13, 2018","0.580","0.585","0.590","0.580","30.19M","-0.85%"
"Aug 10, 2018","0.585","0.590","0.595","0.585","23.32M","-0.85%"
"Aug 09, 2018","0.590","0.585","0.595","0.585","22.02M","-0.84%"
"Aug 08, 2018","0.595","0.595","0.605","0.590","72.58M","0.85%"
"Aug 07, 2018","0.590","0.585","0.595","0.585","34.62M","0.85%"
"Aug 06, 2018","0.585","0.595","0.600","0.585","34.13M","-1.68%"
"Aug 03, 2018","0.595","0.595","0.600","0.585","35.91M","0.85%"
"Aug 02, 2018","0.590","0.605","0.605","0.590","51.33M","-1.67%"
"Aug 01, 2018","0.600","0.605","0.620","0.600","76.84M","-0.83%"
"Jul 31, 2018","0.605","0.610","0.610","0.600","57.30M","-0.82%"
"Jul 30, 2018","0.610","0.610","0.610","0.600","48.35M","0.83%"
"Jul 27, 2018","0.605","0.605","0.610","0.595","60.75M","-0.82%"
"Jul 26, 2018","0.610","0.630","0.635","0.610","116.52M","-1.61%"
"Jul 25, 2018","0.620","0.590","0.645","0.590","340.97M","5.98%"
"Jul 24, 2018","0.585","0.595","0.595","0.580","39.17M","-0.85%"
"Jul 23, 2018","0.590","0.585","0.595","0.580","60.05M","0.85%"
"Jul 20, 2018","0.585","0.590","0.595","0.580","48.45M","-0.85%"
"Jul 19, 2018","0.590","0.600","0.610","0.590","63.60M","-1.67%"
"Jul 18, 2018","0.600","0.595","0.615","0.590","108.19M","0.84%"
"Jul 17, 2018","0.595","0.580","0.600","0.575","64.83M","1.71%"
"Jul 16, 2018","0.585","0.600","0.605","0.585","39.47M","-1.68%"
"Jul 13, 2018","0.595","0.595","0.610","0.580","73.77M","0.85%"
"Jul 12, 2018","0.590","0.580","0.595","0.565","142.25M","-0.84%"
"Jul 11, 2018","0.595","0.605","0.605","0.585","90.90M","-1.65%"
"Jul 10, 2018","0.605","0.615","0.620","0.600","49.09M","-1.63%"
"Jul 09, 2018","0.615","0.615","0.625","0.600","101.66M","1.65%"
"Jul 06, 2018","0.605","0.610","0.615","0.600","70.85M","0.00%"
"Jul 05, 2018","0.605","0.615","0.620","0.600","52.89M","-1.63%"
"Jul 04, 2018","0.615","0.615","0.625","0.605","79.90M","0.00%"
"Jul 03, 2018","0.615","0.625","0.630","0.605","68.40M","-0.81%"
"Jul 02, 2018","0.620","0.630","0.645","0.610","123.05M","-3.12%"
"Jun 29, 2018","0.640","0.650","0.660","0.640","65.13M","-1.54%"
"Jun 28, 2018","0.650","0.640","0.655","0.630","43.98M","2.36%"
"Jun 27, 2018","0.635","0.665","0.670","0.630","99.44M","-2.31%"
"Jun 26, 2018","0.650","0.650","0.660","0.635","122.69M","-0.76%"
"Jun 25, 2018","0.655","0.655","0.670","0.645","195.41M","1.55%"
"Jun 22, 2018","0.645","0.625","0.650","0.615","198.26M","7.50%"
"Jun 21, 2018","0.600","0.620","0.630","0.600","57.23M","-4.00%"
"Jun 20, 2018","0.625","0.605","0.630","0.600","75.22M","4.17%"
"Jun 19, 2018","0.600","0.635","0.640","0.600","101.30M","-4.76%"
"Jun 18, 2018","0.630","0.630","0.635","0.625","72.08M","-3.08%"
"Jun 14, 2018","0.650","0.645","0.660","0.640","56.82M","0.78%"
"Jun 13, 2018","0.645","0.660","0.670","0.645","100.26M","-3.01%"
"Jun 12, 2018","0.665","0.660","0.690","0.655","343.34M","4.72%"
"Jun 11, 2018","0.635","0.640","0.660","0.625","98.92M","0.00%"
"Jun 08, 2018","0.635","0.645","0.650","0.625","85.77M","0.00%"
"Jun 07, 2018","0.635","0.655","0.675","0.635","231.77M","-2.31%"
"Jun 06, 2018","0.650","0.580","0.655","0.575","392.94M","12.07%"
"Jun 05, 2018","0.580","0.580","0.590","0.570","95.38M","-0.85%"
"Jun 04, 2018","0.585","0.575","0.605","0.565","122.80M","0.00%"
"Jun 01, 2018","0.585","0.550","0.600","0.535","261.54M","6.36%"
"May 31, 2018","0.550","0.610","0.625","0.550","647.25M","-5.98%"
"May 30, 2018","0.585","0.620","0.620","0.550","216.79M","-6.40%"
"May 28, 2018","0.625","0.670","0.670","0.620","172.19M","-10.07%"
"May 25, 2018","0.695","0.695","0.715","0.690","84.49M","0.72%"
"May 24, 2018","0.690","0.725","0.730","0.665","235.00M","-3.50%"
"May 23, 2018","0.715","0.745","0.750","0.710","131.84M","-5.92%"
"May 22, 2018","0.760","0.780","0.785","0.750","92.92M","-1.94%"
"May 21, 2018","0.775","0.770","0.790","0.765","126.30M","1.97%"
