"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2018","5.980","5.950","5.980","5.910","8.52M","0.67%"
"Aug 23, 2018","5.940","5.890","5.980","5.870","9.51M","0.85%"
"Aug 21, 2018","5.890","5.910","5.910","5.860","6.93M","0.17%"
"Aug 20, 2018","5.880","5.900","5.900","5.860","8.21M","-0.17%"
"Aug 17, 2018","5.890","5.900","5.910","5.890","4.92M","0.17%"
"Aug 16, 2018","5.880","5.850","5.890","5.800","4.58M","0.00%"
"Aug 15, 2018","5.880","5.850","5.900","5.840","6.52M","0.51%"
"Aug 14, 2018","5.850","5.890","5.900","5.820","11.12M","-0.68%"
"Aug 13, 2018","5.890","5.940","5.940","5.830","5.65M","-0.67%"
"Aug 10, 2018","5.930","5.930","5.970","5.880","10.59M","0.00%"
"Aug 09, 2018","5.930","5.910","6.000","5.880","12.35M","0.17%"
"Aug 08, 2018","5.920","5.840","5.930","5.830","12.57M","1.54%"
"Aug 07, 2018","5.830","5.810","5.850","5.800","12.64M","0.52%"
"Aug 06, 2018","5.800","5.800","5.830","5.770","10.75M","0.17%"
"Aug 03, 2018","5.790","5.840","5.870","5.780","4.24M","-1.03%"
"Aug 02, 2018","5.850","5.850","5.870","5.830","8.42M","0.00%"
"Aug 01, 2018","5.850","5.840","5.880","5.840","8.99M","0.17%"
"Jul 31, 2018","5.840","5.830","5.870","5.810","11.42M","0.00%"
"Jul 30, 2018","5.840","5.880","5.880","5.810","5.59M","-0.85%"
"Jul 27, 2018","5.890","5.860","5.890","5.800","8.40M","0.17%"
"Jul 26, 2018","5.880","5.850","5.880","5.800","15.18M","-0.17%"
"Jul 25, 2018","5.890","5.860","5.910","5.850","12.42M","0.51%"
"Jul 24, 2018","5.860","5.850","5.910","5.840","6.62M","0.00%"
"Jul 23, 2018","5.860","5.830","5.890","5.790","4.80M","0.86%"
"Jul 20, 2018","5.810","5.850","5.850","5.740","11.06M","-0.85%"
"Jul 19, 2018","5.860","5.850","5.990","5.790","17.51M","0.17%"
"Jul 18, 2018","5.850","5.720","5.850","5.650","14.11M","3.17%"
"Jul 17, 2018","5.670","5.670","5.720","5.670","10.98M","0.18%"
"Jul 16, 2018","5.660","5.730","5.740","5.650","7.38M","-1.05%"
"Jul 13, 2018","5.720","5.680","5.760","5.550","16.15M","1.60%"
"Jul 12, 2018","5.630","5.350","5.630","5.330","11.50M","4.65%"
"Jul 11, 2018","5.380","5.320","5.380","5.290","8.94M","0.56%"
"Jul 10, 2018","5.350","5.340","5.380","5.320","8.51M","0.94%"
"Jul 09, 2018","5.300","5.280","5.360","5.210","13.52M","-0.19%"
"Jul 06, 2018","5.310","5.470","5.510","5.310","16.60M","-3.98%"
"Jul 05, 2018","5.530","5.460","5.530","5.430","4.75M","1.28%"
"Jul 04, 2018","5.460","5.410","5.470","5.410","5.05M","1.11%"
"Jul 03, 2018","5.400","5.450","5.480","5.400","6.20M","-0.18%"
"Jul 02, 2018","5.410","5.500","5.550","5.400","11.92M","-0.73%"
"Jun 29, 2018","5.450","5.520","5.700","5.440","17.96M","-0.91%"
"Jun 28, 2018","5.500","5.400","5.570","5.400","7.47M","1.85%"
"Jun 27, 2018","5.400","5.400","5.480","5.400","8.83M","0.19%"
"Jun 26, 2018","5.390","5.410","5.530","5.320","16.19M","-0.19%"
"Jun 25, 2018","5.400","5.860","5.900","5.400","37.48M","-7.06%"
"Jun 22, 2018","5.810","5.830","5.880","5.800","19.53M","-0.34%"
"Jun 21, 2018","5.830","5.880","5.900","5.830","13.85M","-0.68%"
"Jun 20, 2018","5.870","5.880","5.910","5.870","7.98M","0.17%"
"Jun 19, 2018","5.860","5.900","5.920","5.860","12.02M","-0.68%"
"Jun 18, 2018","5.900","5.950","5.960","5.860","18.93M","-1.17%"
"Jun 14, 2018","5.970","6.080","6.090","5.970","19.76M","-1.81%"
"Jun 13, 2018","6.080","6.100","6.140","6.050","12.38M","-0.82%"
"Jun 12, 2018","6.130","6.170","6.250","6.100","12.46M","-1.29%"
"Jun 11, 2018","6.210","6.250","6.320","6.210","14.43M","-1.74%"
"Jun 08, 2018","6.320","6.400","6.420","6.210","13.06M","-0.32%"
"Jun 07, 2018","6.340","6.210","6.560","6.210","28.58M","2.09%"
"Jun 06, 2018","6.210","6.070","6.250","6.060","17.97M","2.14%"
"Jun 05, 2018","6.080","6.100","6.120","6.050","25.03M","-0.33%"
"Jun 04, 2018","6.100","6.150","6.220","6.010","21.52M","0.00%"
"Jun 01, 2018","6.100","5.910","6.140","5.910","21.70M","3.39%"
"May 31, 2018","5.900","6.000","6.040","5.860","38.75M","0.00%"
"May 30, 2018","5.900","6.030","6.050","5.820","29.31M","-2.64%"
"May 28, 2018","6.060","6.120","6.150","6.030","9.80M","-0.98%"
"May 25, 2018","6.120","6.110","6.210","6.060","20.64M","1.16%"
"May 24, 2018","6.050","6.230","6.310","6.030","28.00M","-2.73%"
"May 23, 2018","6.220","6.600","6.600","6.220","27.96M","-6.47%"
"May 22, 2018","6.650","6.600","6.680","6.540","9.86M","0.76%"
"May 21, 2018","6.600","6.800","6.800","6.580","14.60M","-2.94%"
