Sentiment,RSI,EMAcross,MACD,WPR,ADX,CCI,CMO,ROC,Price.change
0,76.78495386,0.057729761,4.84941412,0.222222222,26.60705349,106.2706271,26.31578947,0.006557401,0
0,83.06925726,0.065153174,4.982653868,0,28.08424055,157.8431373,45.45454545,0.02515856,0
1,84.6295479,0.050102116,5.145785354,0,29.54222751,143.4343434,47.82608696,0.063312279,0
1,90.91140032,0.066734744,5.356391481,0,30.90992319,124.3243243,45.45454545,0.018462063,0
1,93.902053,0.071156496,5.610506833,0,34.36170506,144.4444444,68.88888889,0.042048236,0
0,94.57186224,0.054104331,5.871694681,0,32.52470692,132.2222222,70.21276596,0.047628049,0
1,63.28891549,0.016069554,6.077300302,0,32.57696273,128.4313725,71.42857143,0.028987537,1
1,63.28891549,0.010713036,6.22163569,0,30.45731834,109.8321343,70.21276596,0.017291497,1
0,85.24789642,0.047142024,6.362477843,0.138888889,26.71362763,67.32745962,53.84615385,-0.028987537,0
0,93.28324288,0.084761349,6.552799146,0,29.92639691,113.3333333,68.42105263,0.016997576,0
0,94.85853212,0.076507566,6.772804378,0,29.39840215,147.0899471,67.85714286,0.089948237,1
1,94.85853212,0.051005044,6.980116985,0,27.5439009,129.5107034,66.66666667,0.043963123,1
0,70.1721812,0.020670029,7.131272569,0.03030303,26.2692039,109.2436975,62.26415094,-0.005390849,0
0,58.71250444,0.007113353,7.212046365,0,25.72731916,101.6949153,59.18367347,0,1
0,66.83633971,0.011408902,7.235633368,0.04,24.48719981,83.60071301,69.56521739,0,0
1,51.60533834,0.000939268,7.195538141,0.043478261,22.82817507,71.89542484,63.15789474,-0.005390849,0
1,51.60533834,0.000626179,7.100443042,0.045454545,21.27584111,62.41134752,61.11111111,0,0
-1,80.93365188,0.020417452,6.985472273,0.0625,22.42957095,54.09457901,60,0,0
0,28.71951988,-0.026388365,6.794612952,0,20.24075973,70,54.83870968,0.010752792,1
0,19.35459531,-0.037592243,6.524253954,0.235294118,18.49174883,11.88271605,33.33333333,-0.010869672,1
0,10.66248146,-0.058394829,6.15923241,0.470588235,16.75892635,-58.33333333,11.76470588,-0.043722811,1
0,10.66248146,-0.038929886,5.740066338,0.705882353,15.50700062,-125,0,-0.044700179,1
0,8.869921806,-0.032619924,5.286965607,1,15.20127138,-163.0681818,11.76470588,-0.028330507,1
1,59.69279818,0.011586717,4.869249274,1,14.01131071,-153.2338308,-18.51851852,-0.011494379,0
0,59.69279818,0.007724478,4.484508046,1,12.9219645,-118.4079602,-68.42105263,-0.005763705,0
0,59.69279818,0.005149652,4.130379465,0.642857143,13.99021607,-40.70921986,-33.33333333,0.028491956,0
0,77.0052814,0.016766435,3.822505309,0.642857143,13.29225778,-34.34343434,-30.43478261,0.028491956,0
0,29.49630813,-0.02215571,3.506166068,0.5,12.36239197,-6.91E-13,-25,0.011173301,1
0,21.52741147,-0.028103807,3.175118825,0.857142857,11.49629948,-68.29268293,-35.71428571,-0.016997576,0
0,61.01945956,0.014597462,2.890078482,0.785714286,12.82271161,-45.43859649,-31.03448276,-0.022472856,0
1,32.01664996,-0.030268359,2.588050484,0.714285714,11.91351808,-21.14803625,-26.66666667,0.011363759,1
0,17.47841268,-0.066845572,2.221470725,1,10.53453279,-108.3870968,-37.14285714,-0.022989518,1
0,44.48666184,-0.011230382,1.873894189,1,9.726258384,-193.6507937,-52.63157895,-0.05815592,0
0,62.7659815,0.025846412,1.598001044,0.769230769,12.80002495,-113.2850242,-35.13513514,-0.01169604,0
1,33.22620559,-0.042769058,1.295104276,0.615384615,11.71662539,-56.14035088,-20,0.029500664,1
0,33.22620559,-0.028512706,0.987827405,0.615384615,10.73785659,-49.39172749,-9.677419355,0.01169604,1
0,19.47665502,-0.05900847,0.635230436,1,9.587798222,-183.0339321,-26.31578947,-0.047628049,1
0,13.7759431,-0.066005647,0.232387774,1,8.74704758,-204.3715847,-33.33333333,-0.078590275,1
0,9.572996429,-0.070670431,-0.221270359,1,8.061858132,-185.840708,-39.13043478,-0.056441311,1
0,6.567463617,-0.073780288,-0.723562401,1,7.499499196,-176.7375887,-60.86956522,-0.058268908,1
0,2.277398592,-0.155853525,-1.390679714,1,6.415185656,-172.6176585,-65.38461538,-0.073611817,1
0,21.50551033,-0.077235683,-2.090029192,1,5.857792696,-183.1900669,-76.66666667,-0.112795494,0
0,20.0277467,-0.058157122,-2.783617551,0.976744186,8.066615508,-138.372093,-71.42857143,-0.064538521,0
0,33.69608319,-0.025438081,-3.414159668,0.976744186,7.66262742,-113.9618753,-74.54545455,0.007434978,0
1,56.16966768,0.009707946,-3.924497775,0.921052632,9.746071775,-88.61664114,-71.42857143,0.014706147,0
0,49.83532279,-0.000194703,-4.335976997,0.815789474,10.87429376,-58.65209472,-56.36363636,0.043485112,0
1,70.080051,0.026536865,-4.612032179,0.789473684,11.3767282,-46.36264929,-49.01960784,0.035846132,0
1,70.080051,0.017691243,-4.77863545,0.789473684,10.95702101,-39.30704898,-58.33333333,0.007067167,0
1,70.080051,0.011794162,-4.857346961,0.789473684,10.53833754,-31.77304965,-65.2173913,0,0
1,70.080051,0.007862775,-4.866045928,0.733333333,10.12181695,-22.53787879,-65.2173913,0,0
